case,class,representation,utf8_bytes,characters,tokens_cl100k_base,tokens_o200k_base,tokens_p50k_base,tokens_gpt2,tokenizer_families,triage_fields_preserved,notes
verified-test-1,verified_test_result,A_prose,147,143,44,44,45,45,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
verified-test-1,verified_test_result,B_record,290,290,149,151,161,161,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
verified-test-1,verified_test_result,C_line,41,41,24,24,26,26,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
verified-test-2,verified_test_result,A_prose,113,111,31,31,31,31,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
verified-test-2,verified_test_result,B_record,294,294,152,153,168,168,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
verified-test-2,verified_test_result,C_line,42,42,25,25,28,28,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
verified-test-3,verified_test_result,A_prose,140,136,35,35,35,35,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
verified-test-3,verified_test_result,B_record,297,297,147,147,161,161,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
verified-test-3,verified_test_result,C_line,35,35,19,19,22,22,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
human-memory-1,contradicted_human_memory,A_prose,143,143,32,32,30,30,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
human-memory-1,contradicted_human_memory,B_record,215,215,105,105,121,121,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
human-memory-1,contradicted_human_memory,C_line,44,44,23,23,28,28,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
human-memory-2,contradicted_human_memory,A_prose,171,169,43,41,42,42,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
human-memory-2,contradicted_human_memory,B_record,422,422,207,208,230,230,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
human-memory-2,contradicted_human_memory,C_line,49,49,27,28,31,31,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,9/9,
human-memory-3,contradicted_human_memory,A_prose,124,122,25,26,26,26,openai-gpt35-gpt4;openai-gpt4o;openai-codex-davinci;gpt2-legacy,,
