case,class,representation,utf8_bytes,characters,tokens_cl100k_base,tokens_o200k_base,tokens_p50k_base,tokens_gpt2
verified-test-1,verified_test_result,A1_triage_prose,68,68,15,15,15,15
verified-test-1,verified_test_result,A2_full_prose,240,240,88,89,91,91
verified-test-1,verified_test_result,A3_human_prose,147,143,44,44,45,45
verified-test-1,verified_test_result,B_record,290,290,149,151,161,161
verified-test-1,verified_test_result,C1_line_v0,41,41,24,24,26,26
verified-test-1,verified_test_result,C2_frame_v01,35,35,18,18,21,21
verified-test-1,verified_test_result,C3_frame_lowercase_claim,35,35,18,18,20,20
verified-test-1,verified_test_result,C4_frame_no_dictionary,40,40,18,19,23,23
verified-test-2,verified_test_result,A1_triage_prose,69,69,15,15,14,14
verified-test-2,verified_test_result,A2_full_prose,244,244,87,88,94,94
verified-test-2,verified_test_result,A3_human_prose,113,111,31,31,31,31
verified-test-2,verified_test_result,B_record,294,294,152,153,168,168
verified-test-2,verified_test_result,C1_line_v0,42,42,25,25,28,28
verified-test-2,verified_test_result,C2_frame_v01,36,36,19,19,23,23
verified-test-2,verified_test_result,C3_frame_lowercase_claim,36,36,19,19,22,22
verified-test-2,verified_test_result,C4_frame_no_dictionary,41,41,19,20,25,25
verified-test-3,verified_test_result,A1_triage_prose,63,63,11,11,11,11
verified-test-3,verified_test_result,A2_full_prose,254,254,89,89,93,93
verified-test-3,verified_test_result,A3_human_prose,140,136,35,35,35,35
verified-test-3,verified_test_result,B_record,297,297,147,147,161,161
verified-test-3,verified_test_result,C1_line_v0,35,35,19,19,22,22
verified-test-3,verified_test_result,C2_frame_v01,30,30,14,14,17,17
verified-test-3,verified_test_result,C3_frame_lowercase_claim,30,30,14,14,16,16
verified-test-3,verified_test_result,C4_frame_no_dictionary,35,35,15,15,18,18
human-memory-1,contradicted_human_memory,A1_triage_prose,65,65,17,17,18,18
human-memory-1,contradicted_human_memory,A2_full_prose,167,167,52,51,56,56
human-memory-1,contradicted_human_memory,A3_human_prose,143,143,32,32,30,30
human-memory-1,contradicted_human_memory,B_record,215,215,105,105,121,121
human-memory-1,contradicted_human_memory,C1_line_v0,44,44,23,23,28,28
human-memory-1,contradicted_human_memory,C2_frame_v01,39,39,18,18,23,23
human-memory-1,contradicted_human_memory,C3_frame_lowercase_claim,39,39,18,18,22,22
human-memory-1,contradicted_human_memory,C4_frame_no_dictionary,39,39,18,18,23,23
human-memory-2,contradicted_human_memory,A1_triage_prose,101,101,24,24,25,25
human-memory-2,contradicted_human_memory,A2_full_prose,383,383,145,146,162,162
human-memory-2,contradicted_human_memory,A3_human_prose,171,169,43,41,42,42
human-memory-2,contradicted_human_memory,B_record,422,422,207,208,230,230
human-memory-2,contradicted_human_memory,C1_line_v0,49,49,27,28,31,31
human-memory-2,contradicted_human_memory,C2_frame_v01,44,44,22,23,26,26
human-memory-2,contradicted_human_memory,C3_frame_lowercase_claim,44,44,22,23,25,25
human-memory-2,contradicted_human_memory,C4_frame_no_dictionary,44,44,22,23,26,26
human-memory-3,contradicted_human_memory,A1_triage_prose,88,88,19,19,22,22
human-memory-3,contradicted_human_memory,A2_full_prose,263,263,98,98,107,107
human-memory-3,contradicted_human_memory,A3_human_prose,124,122,25,26,26,26
human-memory-3,contradicted_human_memory,B_record,296,296,159,162,179,179
human-memory-3,contradicted_human_memory,C1_line_v0,39,39,22,22,26,26
human-memory-3,contradicted_human_memory,C2_frame_v01,34,34,17,17,21,21
human-memory-3,contradicted_human_memory,C3_frame_lowercase_claim,34,34,17,17,19,19
human-memory-3,contradicted_human_memory,C4_frame_no_dictionary,44,44,18,18,23,23
overclaim-1,agent_overclaim,A1_triage_prose,69,69,17,17,18,18
overclaim-1,agent_overclaim,A2_full_prose,180,180,54,55,61,61
overclaim-1,agent_overclaim,A3_human_prose,182,182,42,41,40,40
overclaim-1,agent_overclaim,B_record,222,222,114,117,129,129
overclaim-1,agent_overclaim,C1_line_v0,52,52,25,26,32,32
overclaim-1,agent_overclaim,C2_frame_v01,46,46,20,22,27,27
overclaim-1,agent_overclaim,C3_frame_lowercase_claim,46,46,18,18,23,23
overclaim-1,agent_overclaim,C4_frame_no_dictionary,51,51,21,22,29,29
overclaim-2,agent_overclaim,A1_triage_prose,62,62,13,13,13,13
overclaim-2,agent_overclaim,A2_full_prose,236,236,89,89,97,97
overclaim-2,agent_overclaim,A3_human_prose,137,133,31,30,32,32
overclaim-2,agent_overclaim,B_record,282,282,147,147,163,163
overclaim-2,agent_overclaim,C1_line_v0,30,30,20,20,23,23
overclaim-2,agent_overclaim,C2_frame_v01,25,25,15,15,18,18
overclaim-2,agent_overclaim,C3_frame_lowercase_claim,25,25,15,15,17,17
overclaim-2,agent_overclaim,C4_frame_no_dictionary,38,38,19,19,23,23
overclaim-3,agent_overclaim,A1_triage_prose,87,87,19,19,19,19
overclaim-3,agent_overclaim,A2_full_prose,239,239,86,87,92,92
overclaim-3,agent_overclaim,A3_human_prose,129,129,30,30,30,30
overclaim-3,agent_overclaim,B_record,273,273,139,143,153,153
overclaim-3,agent_overclaim,C1_line_v0,42,42,25,26,28,28
overclaim-3,agent_overclaim,C2_frame_v01,36,36,19,20,23,23
overclaim-3,agent_overclaim,C3_frame_lowercase_claim,36,36,18,18,20,20
overclaim-3,agent_overclaim,C4_frame_no_dictionary,41,41,19,21,25,25
queue-discovery-1,queue_retry_duplicate_discovery,A1_triage_prose,69,69,16,16,17,17
queue-discovery-1,queue_retry_duplicate_discovery,A2_full_prose,253,253,97,98,108,108
queue-discovery-1,queue_retry_duplicate_discovery,A3_human_prose,166,164,34,32,37,37
queue-discovery-1,queue_retry_duplicate_discovery,B_record,305,305,158,160,179,179
queue-discovery-1,queue_retry_duplicate_discovery,C1_line_v0,43,43,25,25,29,29
queue-discovery-1,queue_retry_duplicate_discovery,C2_frame_v01,35,35,21,20,22,22
queue-discovery-1,queue_retry_duplicate_discovery,C3_frame_lowercase_claim,35,35,19,19,21,21
queue-discovery-1,queue_retry_duplicate_discovery,C4_frame_no_dictionary,64,64,26,27,35,35
queue-discovery-2,queue_retry_duplicate_discovery,A1_triage_prose,94,94,21,21,21,21
queue-discovery-2,queue_retry_duplicate_discovery,A2_full_prose,319,319,133,132,148,148
queue-discovery-2,queue_retry_duplicate_discovery,A3_human_prose,168,166,33,32,36,36
queue-discovery-2,queue_retry_duplicate_discovery,B_record,374,374,196,197,219,219
queue-discovery-2,queue_retry_duplicate_discovery,C1_line_v0,43,43,27,26,30,30
queue-discovery-2,queue_retry_duplicate_discovery,C2_frame_v01,35,35,23,21,23,23
queue-discovery-2,queue_retry_duplicate_discovery,C3_frame_lowercase_claim,35,35,21,21,21,21
queue-discovery-2,queue_retry_duplicate_discovery,C4_frame_no_dictionary,67,67,27,28,37,37
queue-discovery-3,queue_retry_duplicate_discovery,A1_triage_prose,83,83,18,18,18,18
queue-discovery-3,queue_retry_duplicate_discovery,A2_full_prose,270,270,95,95,101,101
queue-discovery-3,queue_retry_duplicate_discovery,A3_human_prose,134,132,28,28,32,32
queue-discovery-3,queue_retry_duplicate_discovery,B_record,310,310,159,159,171,171
queue-discovery-3,queue_retry_duplicate_discovery,C1_line_v0,39,39,24,24,26,26
queue-discovery-3,queue_retry_duplicate_discovery,C2_frame_v01,34,34,19,19,21,21
queue-discovery-3,queue_retry_duplicate_discovery,C3_frame_lowercase_claim,34,34,18,18,21,21
queue-discovery-3,queue_retry_duplicate_discovery,C4_frame_no_dictionary,59,59,26,26,32,32
blocker-1,blocker,A1_triage_prose,64,64,15,15,15,15
blocker-1,blocker,A2_full_prose,154,154,46,47,51,51
blocker-1,blocker,A3_human_prose,133,133,28,28,29,29
blocker-1,blocker,B_record,200,200,106,109,118,118
blocker-1,blocker,C1_line_v0,45,45,23,24,28,28
blocker-1,blocker,C2_frame_v01,41,41,18,19,23,23
blocker-1,blocker,C3_frame_lowercase_claim,41,41,17,18,21,21
blocker-1,blocker,C4_frame_no_dictionary,44,44,18,19,24,24
blocker-2,blocker,A1_triage_prose,64,64,12,12,13,13
blocker-2,blocker,A2_full_prose,215,215,79,80,83,83
blocker-2,blocker,A3_human_prose,161,159,35,34,37,37
blocker-2,blocker,B_record,268,268,140,141,150,150
blocker-2,blocker,C1_line_v0,31,31,21,20,21,21
blocker-2,blocker,C2_frame_v01,27,27,16,15,17,17
blocker-2,blocker,C3_frame_lowercase_claim,27,27,15,15,17,17
blocker-2,blocker,C4_frame_no_dictionary,37,37,16,16,19,19
blocker-3,blocker,A1_triage_prose,59,59,15,15,15,15
blocker-3,blocker,A2_full_prose,203,203,81,80,88,88
blocker-3,blocker,A3_human_prose,124,122,30,29,31,31
blocker-3,blocker,B_record,262,262,135,136,152,152
blocker-3,blocker,C1_line_v0,32,32,23,23,25,25
blocker-3,blocker,C2_frame_v01,28,28,18,18,20,20
blocker-3,blocker,C3_frame_lowercase_claim,28,28,18,18,19,19
blocker-3,blocker,C4_frame_no_dictionary,36,36,19,19,22,22
hypothesis-1,hypothesis,A1_triage_prose,86,86,17,17,18,18
hypothesis-1,hypothesis,A2_full_prose,287,287,99,99,108,108
hypothesis-1,hypothesis,A3_human_prose,213,211,50,49,54,54
hypothesis-1,hypothesis,B_record,320,320,147,149,167,167
hypothesis-1,hypothesis,C1_line_v0,36,36,22,22,25,25
hypothesis-1,hypothesis,C2_frame_v01,28,28,18,17,18,18
